Time;deviceID:110 type:2 variable:4;deviceID:110 type:10 variable:4;deviceID:110 type:20 variable:4;deviceID:110 type:30 variable:4;deviceID:110 type:40 variable:4;deviceID:115 type:2 variable:4;deviceID:115 type:10 variable:4;deviceID:115 type:20 variable:4;deviceID:115 type:30 variable:4;deviceID:115 type:40 variable:4;deviceID:115 type:41 variable:4;deviceID:115 type:42 variable:4;deviceID:115 type:43 variable:4;deviceID:115 type:44 variable:4
2017-03-27 20:41:00;;;;;;100637;24,1631;30,5153;374,125;1,59109;1,76084;1,45439;1,69508;0,360806
2017-03-27 20:42:00;;;;;;100638;24,155;30,45;374,125;1,59553;1,76288;1,47825;1,70639;0,361525
2017-03-27 20:43:00;;;;;;100633;24,1503;30,4991;377,875;1,59101;1,76123;1,45575;1,69447;0,361541
2017-03-27 20:44:00;;;;;;100635;24,1497;30,4713;371,344;1,59294;1,76229;1,46009;1,69707;0,362444
2017-03-27 20:45:00;;;;;;100635;24,1294;30,5;380,25;1,59458;1,76228;1,47132;1,70206;0,362906
2017-03-27 20:46:00;;;;;;100635;24,1362;30,4803;373,25;1,59686;1,76302;1,48546;1,70987;0,362809
2017-03-27 20:47:00;;;;;;100634;24,1344;30,4613;380,656;1,60015;1,76352;1,49877;1,71505;0,362622
2017-03-27 20:48:00;;;;;;100633;24,1444;30,4966;374,344;1,60208;1,7639;1,50718;1,71959;0,362841
2017-03-27 20:49:00;;;;;;100634;24,1603;30,4397;376,188;1,60306;1,76423;1,51075;1,72097;0,363322
2017-03-27 20:50:00;;;;;;100631;24,1603;30,4422;375,469;1,59681;1,76291;1,48549;1,70902;0,3634
2017-03-27 20:51:00;;;;;;100633;24,1425;30,43;375,688;1,59812;1,76359;1,49059;1,71179;0,363397
2017-03-27 20:52:00;;;;;;100632;24,1331;30,4487;377,156;1,59897;1,76372;1,49543;1,714;0,363603
2017-03-27 20:53:00;;;;;;100631;24,1009;30,4859;368,219;1,60004;1,76348;1,49945;1,71567;0,363119
2017-03-27 20:54:00;;;;;;100632;24,0825;30,4897;376,812;1,60386;1,76454;1,51439;1,72303;0,362278
2017-03-27 20:55:00;;;;;;100632;24,0703;30,5212;375;1,60805;1,76683;1,53095;1,7311;0,363009
2017-03-27 20:56:00;;;;;;100634;24,0822;30,5462;371;1,6069;1,76579;1,52506;1,72837;0,363078
2017-03-27 20:57:00;;;;;;100634;24,0653;30,6225;381,812;1,60842;1,76666;1,53356;1,73311;0,362959
2017-03-27 20:58:00;;;;;;100631;24,0584;30,6012;379,844;1,60723;1,76614;1,52756;1,72947;0,363034
2017-03-27 20:59:00;;;;;;100631;24,0319;30,6325;372,188;1,59774;1,76323;1,48922;1,71191;0,362681
2017-03-27 21:00:00;;;;;;100631;24,0341;30,63;374,25;1,59436;1,76274;1,46965;1,70103;0,362628
2017-03-27 21:01:00;;;;;;100631;24,0547;30,725;374,438;1,60071;1,76369;1,50249;1,71733;0,362125
2017-03-27 21:02:00;;;;;;100629;24,045;30,6581;377,875;1,60588;1,7649;1,52104;1,72678;0,362462
2017-03-27 21:03:00;;;;;;100630;24,04;30,6319;377,25;1,60083;1,76407;1,50289;1,71797;0,362216
2017-03-27 21:04:00;;;;;;100630;24,0128;30,6606;376,25;1,59407;1,76273;1,46707;1,70052;0,361956
2017-03-27 21:05:00;;;;;;100628;24,0231;30,67;373,438;1,59649;1,76303;1,4837;1,70906;0,361869
2017-03-27 21:06:00;;;;;;100629;24,0303;30,6725;385,219;1,59509;1,76285;1,48101;1,70669;0,361772
2017-03-27 21:07:00;;;;;;100629;24,0131;30,6591;380,406;1,59921;1,76316;1,49634;1,71428;0,361391
2017-03-27 21:08:00;;;;;;100627;24,01;30,6694;375,562;1,59812;1,76274;1,49057;1,71177;0,361006
2017-03-27 21:09:00;;;;;;100632;23,9838;30,745;369,156;1,592;1,76191;1,45569;1,69498;0,361225
2017-03-27 21:10:00;;;;;;100631;23,9819;30,73;378,5;1,59417;1,76255;1,46995;1,70125;0,361075
2017-03-27 21:11:00;;;;;;100631;23,9794;30,73;378,938;1,59351;1,76186;1,46136;1,69806;0,361081
2017-03-27 21:12:00;;;;;;100633;23,9722;30,7459;373,375;1,59668;1,76301;1,48018;1,70751;0,360928
